id,question,pred,answer,answer_type,image
3,"Are the histone subunits positively charged,  thus allowing the compaction of the negatively charged DNA?",yes,yes,CLOSED,
5,Are the principal cellular alterations that characterize reversible cell injury and necrosis illustrated?,yes,yes,CLOSED,
6,Are methylation of particular histone residues illustrated?,no,no,CLOSED,
10,"Did early (reversible) ischemic injury increase eosinophilia of cytoplasm,  and swelling of occasional cells?",no,no,CLOSED,
14,"Do necrotic cells show preserved outlines with loss of nuclei, and an inflammatory infiltrate is present (difficult to discern at this magnification)?",yes,yes,CLOSED,
17,Do the necrotic cells show preserved outlines with loss of nuclei?,yes,yes,CLOSED,
18,Do skin stem cells show preserved outlines with loss of nuclei?,no,no,CLOSED,
22,Does the wall of the artery show a circumferential bright pink area of necrosis with protein deposition and inflammation?,yes,yes,CLOSED,
24,Are the cellular alterations in apoptosis illustrated?,yes,yes,CLOSED,
25,Are methylation of particular histone residues illustrated?,no,no,CLOSED,
28,Are the areas of white chalky deposits shown?,no,no,CLOSED,
32,Was the injurious stimulus removed for postpartum bleeding?,no,no,CLOSED,
37,"Is an area of central necrosis surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",yes,yes,CLOSED,
41,Did the areas of white chalky deposits overlie white fibrous scar?,no,no,CLOSED,
43,Are numerous friable mural thrombi super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,yes,yes,CLOSED,
44,Are Margin P also super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,no,no,CLOSED,
47,"Is the immediate reaction characterized by an inflammatory infiltrate rich in eosinophils,  neutrophils,  and T cells?",no,no,CLOSED,
50,Does the granuloma in the center show several multinucleate giant cells?,yes,yes,CLOSED,
51,Does the left ventricular wall show several multinucleate giant cells?,no,no,CLOSED,
52,Does the immunoperoxidase stain show C4d deposition in peritubular capillaries and a glomerulus?,yes,yes,CLOSED,
58,"Are the tumor cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",yes,yes,CLOSED,
59,"Are skin stem cells strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",no,no,CLOSED,
62,"Does the high-power view show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",yes,yes,CLOSED,
63,"Does the injurious stimulus show failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",no,no,CLOSED,
65,Is the intact basement membrane not seen in this section?,yes,yes,CLOSED,
66,Is the wound around one another with regularly spaced binding of the congo red not seen in this section?,no,no,CLOSED,
70,Does the microscopic view of breast carcinoma illustrate the invasion of breast stroma and fat by nests and cords of tumor cells?,yes,yes,CLOSED,
