id,question,pred,answer,answer_type,image
1,"What are positively charged,  thus allowing the compaction of the negatively charged DNA?",the histones,the histone subunits,OPEN,
2,How are the histone subunits charged?,with dna,positively charged,OPEN,
4,What are illustrated?,three different types of cellular structures,the principal cellular alterations that characterize reversible cell injury and necrosis,OPEN,
7,"What is considered to culminate in necrosis if the injurious stimulus is not removed, by convention?",the irreversible injury,reversible injury,OPEN,
8,"How is reversible injury considered to do if the injurious stimulus is not removed, by convention?",as a lethal insult,culminate in necrosis,OPEN,
9,Is reversible injury considered to culminate in necrosis if the injurious stimulus is not removed by convention?,no,yes,CLOSED,
11,"What is showing increased eosinophilia of cytoplasm,  and swelling of occasional cells?",the glomerulus,early (reversible) ischemic injury,OPEN,
12,What does ischemic injury show?,characteristic bile lakes and canaliculi of hering,surface blebs,OPEN,
13,"Does early ischemic injury show surface blebs, increase eosinophilia of cytoplasm, and swelling of occasional cells?",no,yes,CLOSED,
15,Are the preserved outlines with loss of nuclei?,no,yes,CLOSED,
16,What show preserved outlines with loss of nuclei?,glomerular tufts,the necrotic cells,OPEN,
19,What shows a circumferential bright pink area of necrosis with protein deposition and inflammation?,the infarcted area,the wall of the artery,OPEN,
20,What does the wall of the artery show with protein deposition and inflammation?,an arteriole,a circumferential bright pink area of necrosis,OPEN,
21,How does the wall of the artery show a circumferential bright pink area of necrosis?,with atherosclerosis and thrombotic occlusion,with protein deposition and inflammation,OPEN,
23,What are illustrated?,three different types of cellular exosomes,the cellular alterations in apoptosis are illustrated,OPEN,
26,What are shown?,a few well-developed cell nests,apoptotic cells in colonic epithelium,OPEN,
27,Are apoptotic cells in colonic epithelium shown?,no,yes,CLOSED,
29,What was removed for postpartum bleeding?,the placenta,a gravid uterus,OPEN,
30,What was a gravid uterus removed for?,examination of the fetus,postpartum bleeding,OPEN,
31,Was a gravid uterus removed for postpartum bleeding?,no,yes,CLOSED,
33,"What is surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",central caseation necrosis,an area of central necrosis,OPEN,
34,What does typical tuberculous granuloma show?,central necrosis,an area of central necrosis,OPEN,
35,What is an area of central necrosis surrounded by?,elongated epithelial spurs from the margins of the wound,multiple multinucleate giant cells,OPEN,
36,"Dose typical tuberculous granuloma show an area of central necrosis surrounded by multiple multinucleate giant cells,  epithelioid cells,  and lymphocytes?",no,yes,CLOSED,
38,What overlies white fibrous scar?,the red endocardium,thrombus,OPEN,
39,What does thrombus in the left and right ventricular apices overlie?,the septal muscle,white fibrous scar,OPEN,
40,Does thrombus in the left and right ventricular apices overlie white fibrous scar?,no,yes,CLOSED,
42,What are super-imposed on advanced atherosclerotic lesions of the more proximal aorta (left side of photograph)?,acute aortic dissection and severe aortic stenosis,friable mural thrombi,OPEN,
45,"What is characterized by vasodilation, congestion, and edema?",the early inflammatory reaction,the immediate reaction,OPEN,
46,What is the immediate reaction characterized by?,an inflammatory infiltrate rich in eosinophils,vasodilation,OPEN,
48,What shows several multinucleate giant cells?,the periphery,the granuloma,OPEN,
49,What does the granuloma in the center show?,a minimal number of lymphocytes,multinucleate giant cells,OPEN,
53,Does the acute t cell-mediated rejection stain show C4d deposition in peritubular capillaries and a glomerulus?,yes,no,CLOSED,
54,What stain shows C4d deposition in peritubular capillaries and a glomerulus?,immunostain for c4d,immunoperoxidase stain,OPEN,
55,"What are strikingly similar to normal squamous epithelial cells,  with intercellular bridges and nests of keratin?",tumour cells,the tumor cells,OPEN,
56,How are the tumor cells?,small,strikingly similar to normal squamous epithelial cells,OPEN,
57,How are the tumor cells strikingly similar to normal squamous epithelial cells?,anisokaryotic,with intercellular bridges and nests of keratin (arrow),OPEN,
60,"What shows failure of normal differentiation,  marked nuclear and cellular pleomorphism,  and numerous mitotic figures extending toward the surface?",the photomicrograph,high-power view of another region,OPEN,
61,What does high-power view of another region show?,a variety of incompletely differentiated tissue elements,failure of normal differentiation,OPEN,
64,What is not seen in this section?,an atypical mitotic figure,the intact basement membrane,OPEN,
67,What illustrates the invasion of breast stroma and fat by nests and cords of tumor cells?,tumor,the microscopic view of breast carcinoma,OPEN,
68,What does microscopic view of breast carcinoma illustrate?,the invasive nature of the tumour,the invasion of breast stroma and fat by nests and cords of tumor cells,OPEN,
69,How does microscopic view of breast carcinoma illustrate the invasion of breast stroma and fat?,by irregular projections of anaplastic tumour cells,by nests and cords of tumor cells,OPEN,
72,What has been termed cystic hygroma?,this abnormal growth,fluid accumulation particularly prominent in the soft tissues of the neck,OPEN,
73,What has this condition been termed?,lymphangiomatosis generalized,cystic hygroma,OPEN,
76,"What are characteristically seen with,  but not limited to,  constitutional chromosomal anomalies such as 45,  X karyotypes?",stillbirths,cystic hygromas,OPEN,
77,"What are cystic hygromas characteristically seen with,  but not limited to?",stillbirth,constitutional chromosomal anomalies such as 45,OPEN,
80,What is seen abutting the optic nerve?,a cystic lesion,poorly cohesive tumor in retina,OPEN,
81,What is the  poorly cohesive tumor in the retina seen abutting?,the vitreous body,the optic nerve,OPEN,
83,"Is the tan-colored,  encapsulated small tumor seen abutting the optic nerve?",yes,no,CLOSED,
84,"What is consistented with the blastemal component and interspersed primitive tubules,  representing the epithelial component?",the histologic appearance of the tumor,wilms tumor with tightly packed blue cells,OPEN,
85,What is the Wilms tumor with tightly packed blue cells consistent with?,an anaplastic tumor,the blastemal component and interspersed primitive tubules,OPEN,
88,"What was present in other areas within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis (center of field)?",a more aggressive form of wilms tumor,focal anaplasia,OPEN,
89,"What was present within this Wilms tumor,  characterized by cells with hyperchromatic,  pleomorphic nuclei,  and an abnormal mitosis center of field?",a cell of origin,focal anaplasia,OPEN,
92,What are associated with specific molecular lesions?,certain types of cancer,predominance of blastemal morphology and diffuse anaplasia,OPEN,
93,What are predominance of blastemal morphology and diffuse anaplasia associated with?,a poor prognosis,specific molecular lesions,OPEN,
95,Are FISH using a fluorescein-labeled cosmid probe for n-myc on a tissue section containing neuroblastoma associated with specific molecular lesions?,yes,no,CLOSED,
96,What does not occur in the absence of appropriate T-cell-mediated immunity?,the acute,granulomatous host response,OPEN,
99,What shows massive intracellular macrophage infection with acid-fast organisms (filamentous and pink in this acid-fast stain preparation)?,a section from margin amoebic ulcer,mycobacterium avium infection,OPEN,
100,What does mycobacterium avium infection in a duodenal biopsy from a patient with AIDS show?,numerous intracellular bacterial forms,massive intracellular macrophage infection with acid-fast organisms,OPEN,
103,What is AIDS?,the disease,acquired immunodeficiency syndrome,OPEN,
104,What is composed of fibrous plaques?,the specimen of the tongue,aorta with mild atherosclerosis,OPEN,
105,What is aorta with mild atherosclerosis composed of?,fatty deposits,fibrous plaques,OPEN,
107,"What shows scattered inflammatory cells,  calcification arrowheads,  and neovascularization ?",the periphery,high-power view of the junction of the fibrous cap and core,OPEN,
108,What did high-power view of the junction of the fibrous cap and core show?,hyaline filaments highlighted by masson 's trichrome stain right photomicrograph,scattered inflammatory cells,OPEN,
113,"What demonstrate sheets of plump,  proliferating spindle cells and slitlike vascular spaces?",spindle cell areas,histologic view of the nodular stage,OPEN,
116,What is concentric thickening of the left ventricular wall causing?,the chamber to be smaller than normal,reduction in lumen size,OPEN,
117,What is causing reduction in lumen size?,the enlarged right ventricle,concentric thickening of the left ventricular wall,OPEN,
121,Where is the atrium shown?,at the top of the heart,on the right in this four-chamber view of the heart,OPEN,
126,What is presented incidentally in the right ventricle?,a large vegetation,a pacemaker,OPEN,
127,Where is the pacemaker?,on the right side of the heart,in the right ventricle,OPEN,
130,What are heaped up within the sinuses of Valsalva?,the yellow-white pus,nodular masses of calcium,OPEN,
131,What are nodular masses of calcium heaped up within?,the lumina of affected bronchioles,the sinuses valsalva,OPEN,
134,"What are not fused,  as in rheumatic aortic valve stenosis?",the cusps,the commissures,OPEN,
135,How are the commissures stenosis?,by the fibrous band,not fused,OPEN,
140,"What is dilated,  reflecting long-standing valvular insufficiency and volume overload?",the left ventricle,the atrium,OPEN,
142,"Is the surrounding lung dilated,  reflecting long-standing valvular insufficiency and volume overload?",yes,no,CLOSED,
143,What is prominent hooding with?,aortic valve stenosis,prolapse of the posterior mitral leaflet into the left atrium,OPEN,
144,What is there with prolapse of the posterior mitral leaflet into the left atrium?,severe mitral regurgitation,prominent hooding,OPEN,
147,What is shown on the right in this four-chamber view?,the right ventricle,the left ventricle,OPEN,
148,Where is the left ventricle shown in this four-chamber view?,at the top,on the right,OPEN,
151,What is caused by Streptococcus viridans on a previously myxomatous mitral valve?,acute endocarditis,subacute endocarditis,OPEN,
152,What is subacute endocarditis caused by?,staphylococcus aureus on a congenitally bicuspid aortic valve with extensive cuspal destruction and ring abscess,streptococcus viridans on a previously myxomatous mitral valve,OPEN,
153,How is subacute endocarditis caused?,by staphylococcus aureus on a congenitally bicuspid aortic valve with extensive cuspal destruction and ring abscess,by streptococcus viridans on a previously myxomatous mitral valve,OPEN,
155,Is the transmural light area in the posterolateral left ventricle caused by streptococcus viridans on a previously myxomatous mitral valve?,yes,no,CLOSED,
156,How much dilation and hypertrophy are evident?,the left atrium,four,OPEN,
157,What is evident?,a large vegetation,four-chamber dilation and hypertrophy,OPEN,
158,How are four-chamber dilation and hypertrophy?,heart,evident,OPEN,
163,What shows an irreversibly sickled cell in the center?,the low magnification wrights,higher magnification,OPEN,
164,What does higher magnification show in the center?,a sickle,an irreversibly sickled cell,OPEN,
167,What shows a hyper-segmented neutrophil with a six-lobed nucleus?,low magnification,a peripheral blood smear,OPEN,
168,What does a peripheral blood smear show?,wrights single cell easily seen,a hyper-segmented neutrophil with a six-lobed nucleus,OPEN,
169,How does a peripheral blood smear show a hyper-segmented neutrophil?,with an irregular nuclear outline,with a six-lobed nucleus,OPEN,
172,What is seen lying within a clear space created by retraction of its cytoplasms?,a solitary,a distinctive lacunar cell with a multilobed nucleus containing many small nucleoli,OPEN,
173,What does the multilobed nucleus of the distinctive lacunar cell contain?,a single,many small nucleoli,OPEN,
174,Is a distinctive lacunar cell with a multilobed nucleus containing many small nucleoli seen lying within a clear space created by retraction of its cytoplasms?,no,yes,CLOSED,
176,A distinctive lacunar cell with a multilobed nucleus containing many small nucleoli is seen lying within a clear space created by retraction of whose cytoplasms ?,their,its,OPEN,
177,"What shows well-defined bands of pink,  acellular collagen that have subdivided the tumor cells into nodules?",tumor,a low-power view,OPEN,
180,"What is surrounded by eosinophils,  lymphocytes,  and histiocytes?",central necrosis,a diagnostic,OPEN,
181,"What is a diagnostic,  binucleate Reed-Sternberg cell surrounded by?",a mantle of lymphocytes,eosinophils,OPEN,
182,"Is a diagnostic,  binucleate Reed-Sternberg cell surrounded by eosinophils,  lymphocytes,  and histiocytes?",no,yes,CLOSED,
187,What are the tumor cells positive for?,pr antibody,the stem cell marker cd34 and myeloid lineage specific markers cd33 and cd15,OPEN,
190,"What is marked by resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,  fibroblasts,  and collagen?",the acute-to-subacute transition,the healing stage,OPEN,
191,What is the healing stage marked by?,the appearance of fibrosis,resorption of hyaline membranes and thickening of alveolar septa by inflammatory cells,OPEN,
194,"What are seen at this stage,  associated with regeneration and repair?",scanty foci of caseation necrosis,numerous reactive type ii pneumocytes,OPEN,
195,"What are numerous reactive type II pneumocytes seen at,  associated with regeneration and repair?",the interface of the acute and chronic inflammatory cells,this stage,OPEN,
198,What is seen in small arteries?,an inflammatory infiltrate,plexiform lesion,OPEN,
199,Where is plexiform lesion characteristic of advanced pulmonary hypertension seen?,at the pulmonary artery arteriosclerosis,in small arteries,OPEN,
200,Is plexiform lesion characteristic of advanced pulmonary hypertension seen in small arteries?,no,yes,CLOSED,
202,What is infiltrated by macrophages and fibroblasts?,the surrounding stroma,fibromyxoid masses,OPEN,
203,"How is Advanced organizing pneumonia,  featuring transformation of exudates to fibromyxoid masses infiltrate?",subpleural regions,by macrophages and fibroblasts,OPEN,
204,Does advanced organizing pneumonia  feature transformation of exudates to fibromyxoid masses infiltrated by macrophages and fibroblasts?,no,yes,CLOSED,
205,"What are infiltrated with lymphocytes and some plasma cells,  which spill over into alveolar spaces?",stroma,the thickened alveolar walls,OPEN,
206,What are the thickened alveolar walls infiltrated with?,cellular exudates composed of neutrophils admixed some red cells,lymphocytes and some plasma cells,OPEN,
209,What are filled with a characteristic foamy acellular exudate?,the alveolar spaces,the alveoli,OPEN,
210,What are the alveoli filled with?,cellular exudates composed of neutrophils admixed some red cells,a characteristic foamy acellular exudate,OPEN,
213,Does silver stain demonstrate cup-shaped and round cysts within the exudate?,no,yes,CLOSED,
215,What does the histologic appearance demonstrate?,acute cellular rejection of a kidney graft,small,OPEN,
217,"What shows mesangial cell proliferation,  basement membrane duplication,  leukocyte infiltration,  and accentuation of lobular architecture?",the glomerulus,membranoproliferative glomerulonephritis (mpgn),OPEN,
220,What shows complete replacement of virtually all glomeruli by blue-staining collagen?,the silver methenamine-stained glomerulus,a masson trichrome preparation,OPEN,
221,What does a Masson trichrome preparation show?,fibrosis,complete replacement of virtually all glomeruli by blue-staining collagen,OPEN,
222,How does a Masson trichrome preparation show complete replacement of virtually all glomeruli?,by sclerotic and hyaline material,by blue-staining collagen,OPEN,
225,"What remain within the predominantly metaplastic,  reddish mucosa of the distal esophagus?",a few areas of haemorrhagic infarction,a few areas of pale squamous mucosa,OPEN,
226,What do only a few areas of pale squamous mucosa remain within?,the specimen,the predominantly metaplastic,OPEN,
229,What is composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,epithelial component,squamous cell carcinoma,OPEN,
231,Is low magnification composed of nests of malignant cells that partially recapitulate the stratified organization of squamous epithelium?,yes,no,CLOSED,
232,What are highlighted in this Warthin-Starry silver stain?,the broad-based budding seen in blastomyces immitis organisms,spiral-shaped helicobacter pylori bacilli,OPEN,
233,How are spiral-shaped Helicobacter pylori bacilli?,similar to other gastric bacteria,highlighted in this warthin-starry silver stain,OPEN,
236,What are abundant within surface mucus?,cystic fibrosis,organisms,OPEN,
237,What are organisms abundant within?,the crypt,surface mucus,OPEN,
239,Are iron deposits shown by a special staining process abundant within surface mucus?,yes,no,CLOSED,
240,What are prominent?,portal tracts and the periportal plexus,intraepithelial and lamina propria neutrophils,OPEN,
241,Are intraepithelial and lamina propria neutrophils prominent?,no,yes,CLOSED,
242,Are histologic appearance in active takayasu aortitis illustrating destruction and fibrosis of the arterial media prominent?,yes,no,CLOSED,
243,What is composed of granulation tissue overlaid by degraded blood?,the clot,the necrotic ulcer base,OPEN,
244,What is the necrotic ulcer base composed of?,granulation tissue and collagen,granulation tissue overlaid by degraded blood,OPEN,
249,What is markedly thickened?,the wall of the gallbladder,the gastric wall,OPEN,
253,What shows regularly spaced stool-filled diverticulae?,this section of the colon,gross examination of a resected sigmoid colon,OPEN,
256,What are cut in cross-section?,glomerular tufts,glands,OPEN,
257,How are the glands cut?,surface,in cross-section,OPEN,
260,What produces a serrated architecture when glands are cut in cross-section?,cytologic atypia,epithelial crowding,OPEN,
261,What does epithelial crowding produce when glands are cut in cross-section?,a dense network of cells,a serrated architecture,OPEN,
264,What are present along with a dominant polyp (right)?,other slides,hundreds of small colonic polyps,OPEN,
265,What are hundreds of small colonic polyps present along with?,a large number of larger polyps,a dominant polyp,OPEN,
268,What are present within the colon wall?,ganglion cells,areas of chalky necrosis,OPEN,
269,Where are areas of chalky necrosis present?,at the periphery of the ulcer,within the colon wall,OPEN,
272,What is typical?,the pattern of stromal cells and their nuclei,necrotic debris,OPEN,
273,"Is necrotic debris,  present in the gland lumen,  typical?",no,yes,CLOSED,
276,How much does the liver weigh?,2 kg,700 g,OPEN,
277,How is the liver?,pale,small (700g),OPEN,
280,"What is entrapped in a dense,  onion-skin concentric scar?",the distal end of the aorta,a bile duct undergoing degeneration,OPEN,
281,What is a bile duct undergoing degeneration entrapped in?,a large fibrous loop,a dense,OPEN,
282,"Is a bile duct undergoing degeneration entrapped in a dense,  onion-skin concentric scar?",no,yes,CLOSED,
285,What replaced most of the right hepatic lobe in a noncirrhotic liver?,a large,neoplasm,OPEN,
288,What is infiltrated by chronic inflammatory cells?,the crypt,the gallbladder mucosa,OPEN,
289,What is the gallbladder mucosa infiltrated by?,a dense lymphoid infiltrate,chronic inflammatory cells,OPEN,
292,What compress the urethra into a slitlike lumen?,cervical carcinoma,well-defined nodules,OPEN,
293,What do well-defined nodules compress?,the surrounding vascular tissue,the urethra into a slitlike lumen,OPEN,
294,Do well-defined nodules compress the urethra into a slitlike lumen?,no,yes,CLOSED,
296,What is seen on the posterior aspect (lower left)?,an intramural myoma,carcinomatous tissue,OPEN,
297,Where is carcinomatous tissue seen ?,at the periphery of the cyst wall,on the posterior aspect,OPEN,
300,What is caused by gonococcal infection?,inflammatory reaction and necrosis of the testis,acute epididymitis,OPEN,
301,What is acute epididymitis caused by?,staphylococcus aureus on a congenitally bicuspid aortic valve with extensive cuspal destruction and ring abscess,gonococcal infection,OPEN,
302,How is acute epididymitis caused?,by ruptured spermatocele,by gonococcal infection,OPEN,
305,What is involved by an abscess?,the entire testis,the epididymis,OPEN,
308,What is seen on the right?,a large multilocular cyst,normal testis,OPEN,
309,Where is normal testis seen?,on the other side of the testis,on the right,OPEN,
312,"What is characterized by increased numbers of epithelial cells,  as in this example of epithelial hyperplasia?",hyperplasia without atypia,proliferative breast disease,OPEN,
313,What is proliferative breast disease characterized by?,an increase in the number of breast cells,an increased numbers of epithelial cells,OPEN,
316,What tend to be larger at the time of diagnosis than those that secrete a hormone?,lesions,nonfunctioning adenomas,OPEN,
317,What do nonfunctioning adenomas tend to be?,large lesions in the pons,larger at the time of diagnosis than those that secrete hormone,OPEN,
318,Do nonfunctioning adenomas tend to be larger at the time of diagnosis than those that secrete a hormone?,no,yes,CLOSED,
320,What contains areas of fibrosis and cystic change?,the cut surface,the coarsely nodular gland,OPEN,
321,What does the coarsely nodular gland contain?,areas of haemorrhage and necrosis,areas of fibrosis and cystic change,OPEN,
325,What contain abundant pink colloid within their lumina?,the affected tubules,the hyperplastic follicles,OPEN,
326,What do the hyperplastic follicles contain?,numerous small vacuoles,abundant pink colloid within their lumina,OPEN,
332,What surrounds the neoplastic follicles?,fibrous septa,a fibrous capsule,OPEN,
335,What is derived from calcitonin molecules secreted by the neoplastic cells?,the tumor,amyloid,OPEN,
336,Is amyloid derived from calcitonin molecules secreted by the neoplastic cells?,no,yes,CLOSED,
338,What contain amyloid derived from calcitonin molecules secreted by the neoplastic cells?,the tumour cells,medullary carcinoma tumors,OPEN,
339,What do these tumors contain?,abundant mucin,amyloid derived from calcitonin molecules secreted by the neoplastic cells,OPEN,
342,What is delineated from the residual normocellular gland on the upper right in this low-power view?,the area of early micronodular cirrhosis,a solitary hypercellular adenoma,OPEN,
343,What is a solitary hypercellular adenoma delineated from?,the surrounding normal pancreas by a thin fibrous septa,the residual normocellular gland on the upper right,OPEN,
346,What shows minimal variation in nuclear size and occasional follicle formation?,the tumour,high-power detail,OPEN,
350,What is contrasted with a normal adrenal gland?,appearance of an adrenal tumor,diffuse hyperplasia of the adrenal gland,OPEN,
354,Is a possible precursor lesion contrasted with a normal adrenal gland?,yes,no,CLOSED,
357,What is yellow and thickened?,the wall of the gallbladder,the adrenal cortex,OPEN,
360,What were diffusely hyperplastic?,the nodules,adrenal glands in a patient with acth-dependent cushing syndrome,OPEN,
362,"What was from a patient with ACTH-dependent Cushing syndrome,  in whom both adrenal glands were diffusely hyperplastic?",this fixed tissue,the adnormal gland,OPEN,
363,What was the abnormal gland from?,the patient's pancreas,a patient with acth-dependent cushing syndrome,OPEN,
364,How was the abnormal gland?,enlarged,from a patient with acth-dependent cushing syndrome,OPEN,
367,What result in acute adrenal insufficiency?,a complete lack of cortical response,bilateral adrenal hemorrhage,OPEN,
368,What did bilateral adrenal hemorrhage in an infant with overwhelming sepsis result in?,the appearance of a water-filled cyst in the adrenal gland,acute adrenal insufficiency,OPEN,
371,What is discernible in this photomicrograph?,a perivascular artery with prominent arteriosclerosis,little residual cortical architecture,OPEN,
374,What were grossly hemorrhagic and shrunken at autopsy?,the adrenals,the adrenal glands,OPEN,
375,Were the adrenal glands grossly hemorrhagic and shrunken at autopsy?,no,yes,CLOSED,
376,Is this more cellular and disorganized than Fig.654?,no,yes,CLOSED,
377,What entraps native lamellar bone as a confluent mass of cartilage?,cartilage cap,conventional chondrosarcoma,OPEN,
380,What is composed of sheets of small round cells with small amounts of clear cytoplasm?,the tumor,ewing sarcoma,OPEN,
381,What is Ewing sarcoma composed of?,small cells embedded in a fine fibrillar matrix (neuropil),sheets of small round cells with small amounts of clear cytoplasm,OPEN,
382,How is Ewing sarcoma composed of sheets of small round cells?,anaplastic,with small amounts of clear cytoplasm,OPEN,
385,"What is surrounded by a fibrous wall containing proliferating fibroblasts,  reactive woven bone,  and osteoclast-type giant cells?",a central area of caseation necrosis,aneurysmal bone cyst with blood-filled cystic space,OPEN,
386,What is the aneurysmal bone cyst with blood-filled cystic space surrounded by?,reactive bone,a fibrous wall containing proliferating fibroblasts,OPEN,
387,How is aneurysmal bone cyst with blood-filled cystic space surrounded?,by a thin layer of reactive bone,by a fibrous wall containing proliferating fibroblasts,OPEN,
390,What is composed of curvilinear trabeculae of woven bone that lack conspicuous osteoblastic rimming and arise in a background of fibrous tissue?,the tumour,fibrous dysplasia,OPEN,
391,What is fibrous dysplasia composed of?,non-caseating epithelioid cell granulomas having langhans 'giant cells and peripheral layer of lymphocytes,curvilinear trabeculae of woven bone,OPEN,
392,What contains a dense lymphoid aggregate?,the stroma,subsynovial tissue,OPEN,
393,What did subsynovial tissue contain?,an inflammatory infiltrate rich in eosinophils,a dense lymphoid aggregate,OPEN,
394,Did subsynovial tissue contain a dense lymphoid aggregate?,no,yes,CLOSED,
396,What allow for examination of individual axons of peripheral nerves?,neuropathological studies,teased fiber preparations,OPEN,
397,What do teased fiber preparations allow for?,the visualization of fiber atrophy,examination of individual axons of peripheral nerves,OPEN,
400,What is flanked by nodes of Ranvier?,the axon,a normal axon,OPEN,
401,What is a normal axon with a long thick dark myelin internode flanked by?,two small light nodes,nodes of ranvier with a long thick dark myelin internode,OPEN,
402,How is a normal axon with a long thick dark myelin internode flanked?,by two smaller axons,by nodes of ranvier,OPEN,
405,What shows a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?,the pathologic specimen,the right axon,OPEN,
406,"What does the right axon,  by contrast,  show?",no lesion,a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes,OPEN,
407,"Does the right axon,  by contrast,  show a segment surrounded by a series of thinly myelinated internodes of uneven length flanked on both ends by normal thicker myelin internodes?",no,yes,CLOSED,
409,What share the same fiber type (fiber type grouping)?,all the fibers in a bundle,large clusters of fibers,OPEN,
410,Under what conditions do clusters of fibers appear that all share the same fiber type?,when there is no necrosis,with ongoing denervation and reinnervation,OPEN,
413,What appear that all share the same fiber type (fiber type grouping)  with ongoing denervation and reinnervation?,not connect with another fiber other than at the end,large clusters of fibers,OPEN,
416,What form a poorly defined nodule?,an infarct,collection of microglial cells,OPEN,
417,What did the collection of microglial cells form?,an amoebic meningioma,a poorly defined nodule,OPEN,
418,Did collection of microglial cells form a poorly defined nodule?,no,yes,CLOSED,
420,What are present in the putamen and thalamus?,several well-defined lesions,abscesses,OPEN,
422,Are abscesses present in the putamen and thalamus?,no,yes,CLOSED,
424,What is a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone?,characteristic features,glioblastoma,OPEN,
425,What is glioblastoma?,multiforme,a densely cellular tumor with necrosis and pseudo-palisading of tumor cell nuclei along the edge of the necrotic zone,OPEN,
428,What did the microscopic appearance of medulloblastoma show?,anaplastic tumor with large areas of necrosis,small,OPEN,
431,What are distinguished grossly from most primary central nervous system tumors by their multicentricity and well-demarcated margins?,metastatic carcinomas,metastatic lesions,OPEN,
432,By whose multicentricity are metastatic lesions distinguished grossly from most primary central nervous system tumors?,their,metastatic grossly from most primary central nervous system tumors by their and well-demarcated margins,OPEN,
435,What is due to the presence of melanin?,the dark pigmentation,the dark color of the tumor nodules,OPEN,
441,What is tumor composed of?,undifferentiated anaplastic cells arranged in nests,nests of basaloid cells,OPEN,
